"","region","subregion","region_type","violent","murder","rape","robbery","assault","property","burglary","larceny","car","arson"
"383","georgia","stephens","nonmetropolitan  ",27,0,2,4,21,660,97,538,25,NA
"384","georgia","taliaferro","nonmetropolitan  ",2,0,0,0,2,65,37,26,2,NA
"385","georgia","taylor","nonmetropolitan  ",2,1,0,1,0,74,14,55,5,0
"386","georgia","thomas4","nonmetropolitan  ",62,1,4,7,50,NA,NA,355,25,4
"387","georgia","tift","nonmetropolitan  ",103,2,7,18,76,963,265,616,82,NA
"388","georgia","toombs","nonmetropolitan  ",28,0,1,5,22,261,91,139,31,NA
"389","georgia","towns","nonmetropolitan  ",11,0,0,0,11,170,52,109,9,NA
"390","georgia","treutlen","nonmetropolitan  ",22,0,0,0,22,133,27,103,3,NA
"391","georgia","turner","nonmetropolitan  ",9,0,2,1,6,101,21,72,8,1
"392","georgia","upson","nonmetropolitan  ",55,0,2,4,49,409,117,278,14,NA
"393","georgia","ware","nonmetropolitan  ",55,2,10,6,37,743,176,519,48,0
"394","georgia","washington","nonmetropolitan  ",37,1,1,4,31,280,90,183,7,NA
"395","georgia","wheeler","nonmetropolitan  ",1,0,0,0,1,68,22,38,8,NA
"396","georgia","white","nonmetropolitan  ",19,2,1,2,14,296,111,156,29,NA
"397","georgia","wilcox","nonmetropolitan  ",4,0,0,0,4,47,30,14,3,NA
"398","georgia","wilkes","nonmetropolitan  ",1,0,0,0,1,13,5,5,3,0
"399","hawaii","hawaii police department","nonmetropolitan  ",441,4,78,73,286,5494,1208,3796,490,67
"400","hawaii","kauai police department","nonmetropolitan  ",208,2,52,20,134,2584,710,1718,156,10
"401","idaho","ada","metropolitan  ",164,2,17,12,133,1068,326,693,49,8
"402","idaho","bannock","metropolitan  ",11,0,1,1,9,127,23,100,4,2
"403","idaho","boise","metropolitan  ",11,0,0,0,11,136,52,80,4,1
"404","idaho","bonneville","metropolitan  ",100,1,16,3,80,858,199,605,54,5
"405","idaho","canyon","metropolitan  ",75,1,10,3,61,675,214,392,69,9
"406","idaho","franklin","metropolitan  ",4,0,2,0,2,43,5,35,3,2
"407","idaho","gem","metropolitan  ",6,0,5,0,1,30,11,17,2,0
"408","idaho","jefferson","metropolitan  ",18,0,3,0,15,204,56,135,13,0
"409","idaho","kootenai","metropolitan  ",122,2,18,7,95,945,297,582,66,9
"410","idaho","nez perce","metropolitan  ",5,1,1,0,3,66,17,49,0,1
"411","idaho","owyhee","metropolitan  ",20,0,13,0,7,157,38,109,10,1
"412","idaho","power","metropolitan  ",1,0,0,0,1,33,3,28,2,0
"413","idaho","adams","nonmetropolitan  ",7,0,0,0,7,52,10,40,2,1
"414","idaho","bear lake","nonmetropolitan  ",2,0,1,0,1,38,10,26,2,0
"415","idaho","benewah","nonmetropolitan  ",17,1,1,1,14,22,7,12,3,0
"416","idaho","bingham","nonmetropolitan  ",17,2,1,1,13,241,57,170,14,0
"417","idaho","blaine","nonmetropolitan  ",4,0,0,0,4,48,30,16,2,0
"418","idaho","bonner","nonmetropolitan  ",33,1,3,0,29,388,85,266,37,3
"419","idaho","boundary","nonmetropolitan  ",6,0,1,0,5,71,25,42,4,2
"420","idaho","butte","nonmetropolitan  ",19,0,0,3,16,9,7,1,1,0
"421","idaho","camas","nonmetropolitan  ",1,0,0,0,1,24,8,15,1,0
"422","idaho","caribou","nonmetropolitan  ",1,0,1,0,0,20,6,14,0,0
"423","idaho","clark","nonmetropolitan  ",0,0,0,0,0,16,5,11,0,0
"424","idaho","clearwater","nonmetropolitan  ",13,0,0,0,13,114,17,94,3,0
"425","idaho","custer","nonmetropolitan  ",5,0,1,0,4,49,6,43,0,0
"426","idaho","elmore","nonmetropolitan  ",11,0,2,0,9,77,14,58,5,0
"427","idaho","fremont","nonmetropolitan  ",4,0,1,0,3,100,20,79,1,0
"428","idaho","gooding","nonmetropolitan  ",13,0,5,0,8,40,13,18,9,0
"429","idaho","idaho","nonmetropolitan  ",9,0,1,0,8,88,17,58,13,0
"430","idaho","jerome","nonmetropolitan  ",8,1,2,0,5,120,36,74,10,1
"431","idaho","latah","nonmetropolitan  ",21,0,2,0,19,151,65,73,13,2
"432","idaho","lemhi","nonmetropolitan  ",2,0,0,0,2,9,4,4,1,0
"433","idaho","lewis","nonmetropolitan  ",4,0,1,0,3,28,14,11,3,1
"434","idaho","lincoln","nonmetropolitan  ",2,0,0,0,2,5,1,3,1,0
"435","idaho","madison","nonmetropolitan  ",20,0,7,0,13,79,17,61,1,1
"436","idaho","minidoka","nonmetropolitan  ",19,1,5,0,13,178,37,123,18,2
"437","idaho","oneida","nonmetropolitan  ",7,0,0,0,7,40,8,29,3,0
"438","idaho","payette","nonmetropolitan  ",4,0,2,0,2,62,18,35,9,0
"439","idaho","teton","nonmetropolitan  ",10,0,0,1,9,25,7,16,2,0
"440","idaho","twin falls","nonmetropolitan  ",41,0,4,0,37,280,109,132,39,3
"441","idaho","valley","nonmetropolitan  ",9,0,5,0,4,88,31,50,7,2
"442","idaho","washington","nonmetropolitan  ",3,0,0,0,3,26,10,12,4,0
"443","indiana","allen","metropolitan  ",56,0,18,13,25,1110,219,815,76,4
"444","indiana","bartholomew","metropolitan  ",22,1,0,1,20,394,40,333,21,0
"445","indiana","boone","metropolitan  ",3,1,0,2,0,282,66,190,26,3
"446","indiana","brown","metropolitan  ",3,1,0,0,2,95,26,66,3,1
"447","indiana","carroll","metropolitan  ",7,0,0,1,6,193,55,122,16,2
"448","indiana","clark","metropolitan  ",33,0,6,7,20,654,244,356,54,5
"449","indiana","delaware","metropolitan  ",27,1,4,4,18,521,125,341,55,0
"450","indiana","elkhart","metropolitan  ",58,1,23,21,13,2123,656,1236,231,19
"451","indiana","floyd","metropolitan  ",1,0,0,1,0,733,143,538,52,0
"452","indiana","gibson","metropolitan  ",8,0,2,0,6,196,40,151,5,0
"453","indiana","greene","metropolitan  ",5,0,1,1,3,143,38,89,16,0
"454","indiana","hancock","metropolitan  ",7,0,2,2,3,317,124,177,16,0
"455","indiana","harrison","metropolitan  ",10,0,2,3,5,461,114,308,39,2
"456","indiana","howard","metropolitan  ",41,0,4,2,35,630,243,355,32,0
"457","indiana","johnson","metropolitan  ",10,1,0,1,8,799,119,665,15,0
"458","indiana","lake","metropolitan  ",22,1,5,9,7,1019,160,766,93,0
"459","indiana","la porte","metropolitan  ",22,0,5,8,9,835,288,507,40,2
"460","indiana","monroe","metropolitan  ",50,0,9,9,32,817,277,482,58,5
"461","indiana","newton","metropolitan  ",5,0,1,0,4,190,75,101,14,1
"462","indiana","porter","metropolitan  ",43,1,2,1,39,1074,211,823,40,0
"463","indiana","putnam","metropolitan  ",22,0,4,3,15,243,92,115,36,0
"464","indiana","shelby","metropolitan  ",36,0,4,4,28,362,108,232,22,0
"465","indiana","st. joseph","metropolitan  ",107,1,9,21,76,1990,610,1280,100,15
"466","indiana","tippecanoe","metropolitan  ",35,0,6,3,26,889,251,593,45,11
"467","indiana","tipton","metropolitan  ",12,0,1,2,9,140,63,73,4,0
"468","indiana","vanderburgh","metropolitan  ",66,3,4,9,50,1318,173,1100,45,8
"469","indiana","warrick","metropolitan  ",134,0,8,0,126,707,134,551,22,2
"470","indiana","wells","metropolitan  ",0,0,0,0,0,135,41,82,12,2
"471","indiana","blackford","nonmetropolitan  ",0,0,0,0,0,58,14,40,4,0
"472","indiana","daviess","nonmetropolitan  ",5,0,0,0,5,71,20,37,14,1
"473","indiana","grant","nonmetropolitan  ",13,0,3,3,7,429,99,290,40,0
"474","indiana","henry","nonmetropolitan  ",3,1,2,0,0,675,258,377,40,1
"475","indiana","huntington","nonmetropolitan  ",7,0,2,2,3,138,35,94,9,0
"476","indiana","jackson","nonmetropolitan  ",15,0,3,2,10,382,88,285,9,0
"477","indiana","jennings","nonmetropolitan  ",52,0,7,2,43,148,126,14,8,1
"478","indiana","knox","nonmetropolitan  ",3,0,0,0,3,23,14,6,3,0
"479","indiana","lagrange","nonmetropolitan  ",2,0,0,1,1,244,63,169,12,0
"480","indiana","lawrence","nonmetropolitan  ",8,0,1,1,6,297,103,166,28,4
"481","indiana","martin","nonmetropolitan  ",1,0,1,0,0,64,10,36,18,2
"482","indiana","noble","nonmetropolitan  ",9,0,2,0,7,158,72,70,16,1
"483","indiana","parke","nonmetropolitan  ",11,0,1,10,0,190,49,135,6,4
"484","indiana","pulaski","nonmetropolitan  ",11,1,0,2,8,214,46,154,14,4
"485","indiana","randolph","nonmetropolitan  ",13,0,13,0,0,146,51,92,3,0
"486","indiana","ripley","nonmetropolitan  ",2,0,0,0,2,187,39,138,10,0
"487","indiana","starke","nonmetropolitan  ",18,0,1,3,14,462,152,265,45,4
"488","indiana","steuben","nonmetropolitan  ",14,0,6,2,6,614,136,433,45,1
"489","indiana","wabash","nonmetropolitan  ",0,0,0,0,0,178,56,122,0,2
"490","indiana","wayne","nonmetropolitan  ",4,0,4,0,0,134,43,77,14,0
"491","indiana","white","nonmetropolitan  ",0,0,0,0,0,21,21,0,0,0
"492","iowa","benton","metropolitan  ",0,0,0,0,0,98,23,74,1,0
"493","iowa","black hawk","metropolitan  ",39,0,5,0,34,263,88,157,18,4
"494","iowa","bremer","metropolitan  ",16,1,0,0,15,47,11,36,0,0
"495","iowa","dallas","metropolitan  ",3,0,1,0,2,79,18,55,6,0
"496","iowa","dubuque","metropolitan  ",60,0,4,0,56,251,82,146,23,4
"497","iowa","grundy","metropolitan  ",1,0,0,0,1,69,14,47,8,0
"498","iowa","guthrie","metropolitan  ",2,0,0,1,1,64,31,30,3,0
"499","iowa","harrison","metropolitan  ",7,0,2,0,5,119,31,77,11,1
"500","iowa","johnson","metropolitan  ",58,1,4,0,53,231,105,106,20,4
"501","iowa","jones","metropolitan  ",2,0,2,0,0,52,15,30,7,0
"502","iowa","linn","metropolitan  ",18,1,5,0,12,286,122,133,31,13
"503","iowa","madison","metropolitan  ",2,0,1,0,1,21,9,10,2,0
"504","iowa","mills","metropolitan  ",24,0,4,1,19,192,56,113,23,5
"505","iowa","polk","metropolitan  ",91,1,10,7,73,741,175,495,71,3
"506","iowa","pottawattamie","metropolitan  ",45,1,10,1,33,513,127,319,67,1
"507","iowa","scott","metropolitan  ",11,1,1,1,8,214,43,154,17,1
"508","iowa","story","metropolitan  ",11,0,3,0,8,188,82,90,16,3
"509","iowa","warren","metropolitan  ",22,0,7,0,15,243,64,165,14,2
"510","iowa","washington","metropolitan  ",23,0,5,0,18,123,73,41,9,0
"511","iowa","woodbury","metropolitan  ",17,1,2,0,14,107,56,48,3,1
"512","iowa","adair","nonmetropolitan  ",6,0,1,0,5,46,9,35,2,1
"513","iowa","adams","nonmetropolitan  ",3,0,1,0,2,57,14,39,4,0
"514","iowa","allamakee","nonmetropolitan  ",2,0,0,0,2,25,2,22,1,0
"515","iowa","appanoose","nonmetropolitan  ",12,1,0,0,11,63,26,33,4,6
"516","iowa","audubon","nonmetropolitan  ",6,0,0,0,6,15,0,12,3,0
"517","iowa","buchanan","nonmetropolitan  ",9,1,1,0,7,89,24,61,4,2
"518","iowa","buena vista","nonmetropolitan  ",3,0,0,0,3,69,30,34,5,0
"519","iowa","butler","nonmetropolitan  ",4,0,0,0,4,24,8,15,1,0
"520","iowa","calhoun","nonmetropolitan  ",6,0,0,0,6,123,37,80,6,0
"521","iowa","carroll","nonmetropolitan  ",3,0,0,0,3,36,3,31,2,0
"522","iowa","cass","nonmetropolitan  ",8,0,1,1,6,110,39,66,5,0
"523","iowa","cedar","nonmetropolitan  ",16,0,0,0,16,88,19,65,4,2
"524","iowa","cerro gordo","nonmetropolitan  ",8,0,0,0,8,107,36,65,6,0
"525","iowa","cherokee","nonmetropolitan  ",1,0,0,0,1,37,11,26,0,0
"526","iowa","clarke","nonmetropolitan  ",10,0,0,0,10,71,19,47,5,2
"527","iowa","clay","nonmetropolitan  ",2,0,0,0,2,50,31,17,2,1
"528","iowa","clayton","nonmetropolitan  ",13,0,3,0,10,45,20,21,4,1
"529","iowa","clinton","nonmetropolitan  ",45,1,3,0,41,150,49,79,22,2
"530","iowa","davis","nonmetropolitan  ",9,0,1,0,8,9,5,4,0,0
"531","iowa","des moines","nonmetropolitan  ",27,0,1,1,25,184,43,122,19,2
"532","iowa","emmet","nonmetropolitan  ",1,0,0,0,1,38,21,15,2,0
"533","iowa","fayette","nonmetropolitan  ",15,0,2,1,12,30,9,16,5,0
"534","iowa","floyd","nonmetropolitan  ",1,0,1,0,0,21,12,9,0,0
"535","iowa","hamilton","nonmetropolitan  ",12,1,0,0,11,88,44,39,5,1
"536","iowa","hancock","nonmetropolitan  ",3,0,0,0,3,76,17,57,2,0
"537","iowa","hardin","nonmetropolitan  ",8,0,3,0,5,92,39,44,9,1
"538","iowa","henry","nonmetropolitan  ",29,0,3,1,25,126,46,71,9,1
"539","iowa","howard","nonmetropolitan  ",2,0,0,0,2,66,17,46,3,1
"540","iowa","humboldt","nonmetropolitan  ",2,1,0,0,1,32,9,20,3,0
"541","iowa","ida","nonmetropolitan  ",9,0,2,0,7,63,10,52,1,0
"542","iowa","iowa","nonmetropolitan  ",8,0,0,0,8,105,26,72,7,1
"543","iowa","jasper","nonmetropolitan  ",16,0,1,1,14,131,40,79,12,3
"544","iowa","jefferson","nonmetropolitan  ",5,0,0,0,5,79,29,43,7,0
"545","iowa","keokuk","nonmetropolitan  ",0,0,0,0,0,14,0,13,1,0
"546","iowa","lee","nonmetropolitan  ",27,0,6,0,21,119,31,76,12,1
"547","iowa","louisa","nonmetropolitan  ",5,1,4,0,0,33,0,28,5,2
"548","iowa","lyon","nonmetropolitan  ",13,0,3,0,10,87,28,49,10,1
"549","iowa","mahaska","nonmetropolitan  ",22,0,0,0,22,82,34,41,7,2
"550","iowa","marion","nonmetropolitan  ",31,1,10,0,20,73,25,41,7,0
"551","iowa","marshall","nonmetropolitan  ",31,2,4,0,25,93,43,42,8,1
"552","iowa","mitchell","nonmetropolitan  ",1,0,0,0,1,8,3,3,2,0
"553","iowa","monona","nonmetropolitan  ",0,0,0,0,0,2,0,1,1,0
"554","iowa","monroe","nonmetropolitan  ",5,0,0,0,5,27,7,17,3,1
"555","iowa","muscatine","nonmetropolitan  ",20,1,2,3,14,128,51,69,8,4
"556","iowa","o'brien","nonmetropolitan  ",4,0,0,0,4,51,21,25,5,2
"557","iowa","osceola","nonmetropolitan  ",2,0,0,0,2,11,3,8,0,0
"558","iowa","plymouth","nonmetropolitan  ",7,0,2,0,5,45,13,26,6,0
"559","iowa","pocahontas","nonmetropolitan  ",1,0,1,0,0,34,18,15,1,0
"560","iowa","poweshiek","nonmetropolitan  ",9,0,3,0,6,131,45,71,15,1
"561","iowa","sac","nonmetropolitan  ",2,0,0,0,2,44,25,17,2,0
"562","iowa","sioux","nonmetropolitan  ",6,0,1,0,5,79,30,43,6,1
"563","iowa","tama","nonmetropolitan  ",28,0,2,1,25,135,65,59,11,1
"564","iowa","taylor","nonmetropolitan  ",0,0,0,0,0,46,15,29,2,0
"565","iowa","union","nonmetropolitan  ",1,0,0,0,1,32,9,19,4,1
"566","iowa","van buren","nonmetropolitan  ",7,0,0,1,6,98,44,52,2,0
"567","iowa","wapello","nonmetropolitan  ",8,0,1,0,7,124,44,66,14,0
"568","iowa","wayne","nonmetropolitan  ",9,0,1,0,8,51,20,26,5,1
"569","iowa","webster","nonmetropolitan  ",24,0,0,1,23,238,53,151,34,3
"570","iowa","winneshiek","nonmetropolitan  ",1,0,0,0,1,32,9,23,0,0
"571","iowa","worth","nonmetropolitan  ",0,0,0,0,0,114,23,81,10,1
"572","iowa","wright","nonmetropolitan  ",1,0,0,0,1,47,24,20,3,0
"573","kansas","butler","metropolitan  ",42,1,6,1,34,524,201,278,45,2
"574","kansas","doniphan","metropolitan  ",4,0,2,0,2,99,33,59,7,3
"575","kansas","douglas","metropolitan  ",16,0,4,0,12,260,64,183,13,4
"576","kansas","franklin","metropolitan  ",32,0,7,0,25,187,74,100,13,3
"577","kansas","geary","metropolitan  ",8,0,2,0,6,43,9,33,1,2
"578","kansas","harvey","metropolitan  ",23,0,2,0,21,94,16,73,5,2
"579","kansas","jackson","metropolitan  ",30,0,2,0,28,173,62,99,12,1
"580","kansas","jefferson","metropolitan  ",12,0,1,0,11,347,102,222,23,5
"581","kansas","leavenworth","metropolitan  ",74,0,4,1,69,345,133,180,32,14
"582","kansas","linn","metropolitan  ",19,1,4,0,14,85,26,42,17,1
"583","kansas","miami","metropolitan  ",19,0,3,0,16,178,59,100,19,13
"584","kansas","osage","metropolitan  ",9,0,2,0,7,77,39,32,6,5
"585","kansas","pottawattamie","metropolitan  ",26,1,3,2,20,227,69,143,15,2
"586","kansas","riley county police department","metropolitan  ",225,3,42,30,150,1765,336,1358,71,13
"587","kansas","shawnee","metropolitan  ",131,0,11,7,113,1563,382,1103,78,12
"588","kansas","sumner","metropolitan  ",16,0,1,0,15,144,50,84,10,0
"589","kansas","wabaunsee","metropolitan  ",13,0,1,0,12,93,35,49,9,0
"590","kansas","wyandotte","metropolitan  ",6,0,0,1,5,6,0,4,2,0
"591","kansas","allen","nonmetropolitan  ",19,0,3,0,16,107,23,72,12,3
"592","kansas","anderson","nonmetropolitan  ",4,0,0,1,3,48,16,30,2,1
"593","kansas","atchison","nonmetropolitan  ",5,0,0,0,5,54,20,29,5,5
"594","kansas","barber","nonmetropolitan  ",4,0,2,0,2,13,0,10,3,0
"595","kansas","barton2","nonmetropolitan  ",4,0,2,0,2,136,49,80,7,0
"596","kansas","bourbon","nonmetropolitan  ",2,0,1,0,1,55,20,30,5,1
"597","kansas","brown","nonmetropolitan  ",24,0,1,0,23,53,17,32,4,0
"598","kansas","chautauqua","nonmetropolitan  ",11,0,1,0,10,45,16,28,1,0
"599","kansas","cherokee","nonmetropolitan  ",18,0,2,2,14,195,51,113,31,5
"600","kansas","cheyenne","nonmetropolitan  ",1,0,0,0,1,17,2,14,1,0
"601","kansas","clark","nonmetropolitan  ",1,0,0,0,1,23,10,12,1,0
"602","kansas","clay","nonmetropolitan  ",8,0,1,0,7,54,18,27,9,0
"603","kansas","cloud","nonmetropolitan  ",2,0,0,0,2,29,13,16,0,0
"604","kansas","coffey","nonmetropolitan  ",12,0,4,0,8,47,11,35,1,0
"605","kansas","cowley","nonmetropolitan  ",35,0,1,0,34,246,98,137,11,2
"606","kansas","crawford","nonmetropolitan  ",41,0,1,1,39,296,90,189,17,12
"607","kansas","dickinson","nonmetropolitan  ",17,0,5,0,12,132,30,96,6,3
"608","kansas","edwards","nonmetropolitan  ",2,0,0,0,2,23,9,14,0,0
"609","kansas","elk","nonmetropolitan  ",2,0,1,0,1,28,7,21,0,0
"610","kansas","ellis","nonmetropolitan  ",10,0,2,0,8,75,18,53,4,1
"611","kansas","ellsworth","nonmetropolitan  ",7,1,0,0,6,58,20,35,3,0
"612","kansas","finney","nonmetropolitan  ",46,0,8,3,35,258,65,178,15,2
"613","kansas","ford","nonmetropolitan  ",16,0,0,1,15,55,17,29,9,0
"614","kansas","graham","nonmetropolitan  ",4,0,0,0,4,30,11,17,2,1
"615","kansas","grant","nonmetropolitan  ",8,2,0,0,6,23,9,14,0,0
"616","kansas","gray","nonmetropolitan  ",2,0,1,0,1,24,4,18,2,1
"617","kansas","greenwood","nonmetropolitan  ",25,0,1,2,22,212,58,149,5,1
"618","kansas","harper","nonmetropolitan  ",1,0,0,0,1,18,7,9,2,0
"619","kansas","hodgeman","nonmetropolitan  ",5,0,0,0,5,26,9,16,1,0
"620","kansas","kearny","nonmetropolitan  ",13,0,1,0,12,91,16,72,3,1
"621","kansas","kingman","nonmetropolitan  ",3,0,1,0,2,55,21,28,6,2
"622","kansas","kiowa","nonmetropolitan  ",5,0,2,0,3,36,12,21,3,0
"623","kansas","labette","nonmetropolitan  ",15,0,1,0,14,118,44,68,6,8
"624","kansas","lane","nonmetropolitan  ",3,0,1,0,2,22,8,12,2,0
"625","kansas","lincoln","nonmetropolitan  ",5,0,0,0,5,45,12,31,2,1
"626","kansas","lyon","nonmetropolitan  ",15,0,3,0,12,104,16,81,7,5
"627","kansas","mcpherson","nonmetropolitan  ",9,0,2,1,6,99,33,63,3,2
"628","kansas","mitchell","nonmetropolitan  ",4,0,1,0,3,60,28,27,5,2
"629","kansas","morris","nonmetropolitan  ",2,0,1,0,1,39,16,23,0,0
"630","kansas","morton","nonmetropolitan  ",10,0,0,0,10,39,13,23,3,0
"631","kansas","nemaha","nonmetropolitan  ",9,0,2,0,7,52,13,38,1,0
"632","kansas","neosho","nonmetropolitan  ",13,0,1,1,11,99,40,50,9,8
"633","kansas","osborne","nonmetropolitan  ",4,1,0,0,3,56,25,29,2,1
"634","kansas","ottawa","nonmetropolitan  ",9,0,1,0,8,72,29,40,3,1
"635","kansas","pawnee","nonmetropolitan  ",15,0,2,0,13,36,14,21,1,1
"636","kansas","phillips","nonmetropolitan  ",6,0,0,0,6,13,2,9,2,0
"637","kansas","pratt","nonmetropolitan  ",5,0,1,0,4,50,16,30,4,3
"638","kansas","rawlins","nonmetropolitan  ",3,0,1,0,2,17,2,14,1,0
"639","kansas","reno","nonmetropolitan  ",39,0,4,2,33,297,111,174,12,13
"640","kansas","republic","nonmetropolitan  ",2,0,0,0,2,55,18,33,4,1
"641","kansas","rice","nonmetropolitan  ",9,0,1,0,8,46,16,27,3,1
"642","kansas","rooks","nonmetropolitan  ",2,0,0,0,2,7,3,4,0,0
"643","kansas","rush","nonmetropolitan  ",2,0,0,0,2,25,13,8,4,0
"644","kansas","russell","nonmetropolitan  ",6,0,0,0,6,38,15,21,2,1
"645","kansas","saline","nonmetropolitan  ",22,1,6,0,15,156,51,97,8,7
"646","kansas","scott","nonmetropolitan  ",0,0,0,0,0,23,2,17,4,2
"647","kansas","seward","nonmetropolitan  ",9,0,1,0,8,49,9,35,5,1
"648","kansas","sherman","nonmetropolitan  ",9,0,0,0,9,23,6,16,1,0
"649","kansas","smith","nonmetropolitan  ",1,0,0,0,1,24,14,8,2,0
"650","kansas","stafford","nonmetropolitan  ",4,0,0,0,4,44,11,29,4,0
"651","kansas","stanton","nonmetropolitan  ",1,0,0,1,0,24,4,18,2,0
"652","kansas","thomas","nonmetropolitan  ",11,0,4,2,5,32,2,28,2,0
"653","kansas","washington","nonmetropolitan  ",6,0,0,0,6,11,4,6,1,0
"654","kansas","wichita","nonmetropolitan  ",10,0,0,0,10,20,2,16,2,0
"655","kansas","wilson","nonmetropolitan  ",6,0,1,0,5,67,39,26,2,3
"656","kansas","woodson","nonmetropolitan  ",10,0,5,0,5,39,9,29,1,1
"657","kentucky","bourbon","metropolitan  ",2,0,0,0,2,80,25,48,7,NA
"658","kentucky","boyd","metropolitan  ",32,0,0,15,17,316,83,207,26,NA
"659","kentucky","bracken","metropolitan  ",5,0,1,1,3,71,29,38,4,NA
"660","kentucky","bullitt","metropolitan  ",35,1,11,4,19,560,243,284,33,NA
"661","kentucky","christian","metropolitan  ",24,1,4,7,12,422,173,215,34,NA
"662","kentucky","clark","metropolitan  ",15,1,4,5,5,322,126,179,17,NA
"663","kentucky","daviess","metropolitan  ",31,0,4,2,25,578,147,404,27,3
"664","kentucky","edmonson","metropolitan  ",3,0,0,0,3,48,15,30,3,NA
"665","kentucky","gallatin","metropolitan  ",1,0,1,0,0,33,10,22,1,NA
"666","kentucky","grant","metropolitan  ",1,0,1,0,0,92,34,54,4,NA
"667","kentucky","greenup","metropolitan  ",16,0,1,5,10,64,38,19,7,NA
"668","kentucky","hancock","metropolitan  ",1,0,0,0,1,15,7,7,1,NA
"669","kentucky","hardin","metropolitan  ",5,0,3,0,2,127,55,65,7,NA
"670","kentucky","jefferson","metropolitan  ",0,0,0,0,0,12,2,9,1,NA
"671","kentucky","jessamine","metropolitan  ",10,0,2,6,2,202,69,107,26,NA
"672","kentucky","kenton","metropolitan  ",1,0,0,0,1,6,1,5,0,NA
"673","kentucky","larue","metropolitan  ",12,0,3,0,9,51,17,33,1,NA
"674","kentucky","mclean","metropolitan  ",4,0,0,0,4,16,5,8,3,NA
"675","kentucky","meade","metropolitan  ",6,0,1,2,3,183,79,82,22,NA
"676","kentucky","nelson","metropolitan  ",21,0,3,3,15,277,95,169,13,NA
"677","kentucky","oldham","metropolitan  ",0,0,0,0,0,1,0,1,0,NA
"678","kentucky","oldham county police department","metropolitan  ",26,0,12,8,6,472,117,339,16,NA
"679","kentucky","pendleton","metropolitan  ",1,0,0,0,1,87,20,56,11,NA
"680","kentucky","scott","metropolitan  ",17,0,2,3,12,411,134,251,26,NA
"681","kentucky","shelby","metropolitan  ",33,0,4,7,22,399,101,276,22,NA
"682","kentucky","spencer","metropolitan  ",3,0,1,1,1,41,24,12,5,NA
"683","kentucky","trigg","metropolitan  ",2,0,0,0,2,92,44,37,11,NA
"684","kentucky","trimble","metropolitan  ",0,0,0,0,0,16,1,9,6,NA
"685","kentucky","warren","metropolitan  ",14,0,1,3,10,486,138,319,29,NA
"686","kentucky","adair","nonmetropolitan  ",1,0,0,0,1,12,6,4,2,NA
"687","kentucky","allen","nonmetropolitan  ",11,1,1,1,8,91,33,49,9,NA
"688","kentucky","anderson","nonmetropolitan  ",5,0,0,2,3,57,16,37,4,NA
"689","kentucky","ballard","nonmetropolitan  ",8,0,3,0,5,104,34,67,3,NA
"690","kentucky","barren","nonmetropolitan  ",11,1,5,2,3,232,90,126,16,NA
"691","kentucky","bell","nonmetropolitan  ",5,0,0,1,4,58,15,38,5,NA
"692","kentucky","boyle","nonmetropolitan  ",5,0,1,1,3,127,38,75,14,NA
"693","kentucky","breckinridge","nonmetropolitan  ",2,0,0,0,2,35,13,16,6,NA
"694","kentucky","butler","nonmetropolitan  ",2,0,0,0,2,40,18,16,6,NA
"695","kentucky","caldwell","nonmetropolitan  ",5,0,0,0,5,58,30,23,5,NA
"696","kentucky","calloway","nonmetropolitan  ",14,1,3,1,9,448,163,250,35,NA
"697","kentucky","carroll","nonmetropolitan  ",0,0,0,0,0,3,0,3,0,NA
"698","kentucky","carter","nonmetropolitan  ",2,0,0,1,1,175,69,91,15,NA
"699","kentucky","casey","nonmetropolitan  ",4,0,0,0,4,116,40,67,9,NA
"700","kentucky","clay","nonmetropolitan  ",6,0,1,0,5,116,42,49,25,NA
"701","kentucky","clinton","nonmetropolitan  ",0,0,0,0,0,0,0,0,0,NA
"702","kentucky","crittenden","nonmetropolitan  ",0,0,0,0,0,17,4,12,1,NA
"703","kentucky","cumberland","nonmetropolitan  ",0,0,0,0,0,4,1,1,2,NA
"704","kentucky","estill","nonmetropolitan  ",2,0,0,2,0,242,69,154,19,NA
"705","kentucky","fleming","nonmetropolitan  ",9,0,2,0,7,46,15,18,13,NA
"706","kentucky","floyd","nonmetropolitan  ",1,0,0,0,1,151,39,96,16,NA
"707","kentucky","franklin","nonmetropolitan  ",20,0,3,11,6,110,57,45,8,NA
"708","kentucky","fulton","nonmetropolitan  ",1,0,1,0,0,54,15,33,6,NA
"709","kentucky","garrard","nonmetropolitan  ",0,0,0,0,0,133,43,86,4,NA
"710","kentucky","graves","nonmetropolitan  ",13,2,2,1,8,143,63,71,9,NA
"711","kentucky","grayson","nonmetropolitan  ",11,0,3,0,8,159,63,85,11,NA
"712","kentucky","harlan","nonmetropolitan  ",14,0,1,0,13,57,23,34,0,NA
"713","kentucky","harrison","nonmetropolitan  ",8,0,0,3,5,210,84,116,10,NA
"714","kentucky","hart","nonmetropolitan  ",2,0,1,0,1,25,18,6,1,NA
"715","kentucky","hopkins","nonmetropolitan  ",10,0,1,0,9,247,84,140,23,NA
"716","kentucky","jackson","nonmetropolitan  ",3,0,1,0,2,65,21,38,6,NA
"717","kentucky","johnson","nonmetropolitan  ",1,0,0,0,1,40,5,29,6,NA
"718","kentucky","knott","nonmetropolitan  ",0,0,0,0,0,77,13,57,7,NA
